Date,State,Region,Category,Sales,Profit,Orders
2023-01-01,California,West,Strawberries,260271.86,52877.73,7
2023-01-01,California,West,Blueberries,48546.12,11401.0,20
2023-01-01,California,West,Raspberries,78676.15,18142.05,7
2023-01-01,California,West,Blackberries,29454.68,8692.22,13
2023-01-01,Florida,South,Strawberries,68033.28,26557.9,4
2023-01-01,Florida,South,Blueberries,195282.53,35386.6,3
2023-01-01,Florida,South,Raspberries,111106.52,18763.09,7
2023-01-01,Florida,South,Blackberries,124931.86,36388.08,5
2023-01-01,Oregon,West,Strawberries,57690.72,16851.85,6
2023-01-01,Oregon,West,Blueberries,462269.74,163862.86,7
2023-01-01,Oregon,West,Raspberries,240601.84,94390.58,10
2023-01-01,Oregon,West,Blackberries,23752.69,7129.67,3
2023-01-01,Washington,West,Strawberries,128618.0,31696.51,10
2023-01-01,Washington,West,Blueberries,28782.96,5499.23,5
2023-01-01,Washington,West,Raspberries,25752.84,6578.7,16
2023-01-01,Washington,West,Blackberries,199246.99,21775.39,7
2023-01-01,Georgia,South,Strawberries,34737.4,11119.29,10
2023-01-01,Georgia,South,Blueberries,67171.83,26847.52,3
2023-01-01,Georgia,South,Raspberries,22042.3,7209.86,14
2023-01-01,Georgia,South,Blackberries,51768.98,15883.1,9
2023-01-01,Michigan,Midwest,Strawberries,69777.9,17252.48,10
2023-01-01,Michigan,Midwest,Blueberries,172282.72,23077.25,17
2023-01-01,Michigan,Midwest,Raspberries,42995.18,10432.46,10
2023-01-01,Michigan,Midwest,Blackberries,15186.44,3513.43,7
2023-01-01,New Jersey,Northeast,Strawberries,29236.7,8289.14,10
2023-01-01,New Jersey,Northeast,Blueberries,46002.87,11319.03,8
2023-01-01,New Jersey,Northeast,Raspberries,32303.55,9400.55,1
2023-01-01,New Jersey,Northeast,Blackberries,27099.83,8857.18,8
2023-01-01,North Carolina,South,Strawberries,71743.5,20735.53,7
2023-01-01,North Carolina,South,Blueberries,80990.41,30318.3,14
2023-01-01,North Carolina,South,Raspberries,80700.13,30392.6,7
2023-01-01,North Carolina,South,Blackberries,23780.84,7796.14,3
2023-01-01,Texas,South,Strawberries,55476.13,20814.25,5
2023-01-01,Texas,South,Blueberries,70450.28,7518.56,14
2023-01-01,Texas,South,Raspberries,61584.82,7816.71,8
2023-01-01,Texas,South,Blackberries,33678.79,5349.14,14
2023-01-01,New York,Northeast,Strawberries,61785.43,21567.66,2
2023-01-01,New York,Northeast,Blueberries,52064.89,12284.65,10
2023-01-01,New York,Northeast,Raspberries,128748.12,47938.51,13
2023-01-01,New York,Northeast,Blackberries,60560.77,23641.75,4
2023-01-01,Illinois,Midwest,Strawberries,57982.27,21923.02,6
2023-01-01,Illinois,Midwest,Blueberries,112231.57,32078.89,8
2023-01-01,Illinois,Midwest,Raspberries,20641.27,2243.83,6
2023-01-01,Illinois,Midwest,Blackberries,22502.06,8217.25,0
2023-01-01,Arizona,West,Strawberries,71062.31,22615.45,15
2023-01-01,Arizona,West,Blueberries,39343.83,11196.01,0
2023-01-01,Arizona,West,Raspberries,54834.81,20867.4,14
2023-01-01,Arizona,West,Blackberries,49973.74,8828.62,5
2023-01-01,Pennsylvania,Northeast,Strawberries,58826.61,16283.56,4
2023-01-01,Pennsylvania,Northeast,Blueberries,36822.61,5956.54,13
2023-01-01,Pennsylvania,Northeast,Raspberries,25193.35,5594.88,3
2023-01-01,Pennsylvania,Northeast,Blackberries,34982.91,11239.59,15
2023-01-01,Ohio,Midwest,Strawberries,96779.44,14215.75,14
2023-01-01,Ohio,Midwest,Blueberries,77159.43,19902.32,17
2023-01-01,Ohio,Midwest,Raspberries,83261.99,29995.73,6
2023-01-01,Ohio,Midwest,Blackberries,104279.1,28935.68,5
2023-01-01,Colorado,West,Strawberries,76987.3,24512.92,4
2023-01-01,Colorado,West,Blueberries,22713.32,5764.6,9
2023-01-01,Colorado,West,Raspberries,89755.75,19875.72,4
2023-01-01,Colorado,West,Blackberries,13944.6,1871.86,5
2023-01-01,Wisconsin,Midwest,Strawberries,191041.63,20998.48,6
2023-01-01,Wisconsin,Midwest,Blueberries,36660.12,12688.01,2
2023-01-01,Wisconsin,Midwest,Raspberries,24956.36,4370.41,5
2023-01-01,Wisconsin,Midwest,Blackberries,20897.07,6163.23,9
2023-01-02,California,West,Strawberries,138426.55,46119.25,7
