Date,State,Region,Category,Sales,Profit,Orders,Company
2023-01-01,California,West,Strawberries,260271.86,31413.86,7,Berry Fresh
2023-01-01,California,West,Blueberries,48546.12,12228.29,20,Wish Farms
2023-01-01,California,West,Raspberries,78676.15,9197.36,7,Red Blossom
2023-01-01,California,West,Blackberries,29454.68,7251.25,13,Oregon Berry Packing
2023-01-01,Florida,South,Strawberries,68033.28,12649.59,4,California Giant
2023-01-01,Florida,South,Blueberries,195282.53,21304.25,3,Dole
2023-01-01,Florida,South,Raspberries,111106.52,41463.06,7,Well•Pict
2023-01-01,Florida,South,Blackberries,124931.86,32134.82,5,Hortifrut
2023-01-01,Oregon,West,Strawberries,57690.72,12375.35,6,Red Blossom
2023-01-01,Oregon,West,Blueberries,462269.74,119337.97,7,Michigan Blueberry Growers
2023-01-01,Oregon,West,Raspberries,240601.84,58453.84,10,Ruby Fresh
2023-01-01,Oregon,West,Blackberries,23752.69,3996.65,3,Oregon Berry Packing
2023-01-01,Washington,West,Strawberries,128618.0,42058.1,10,Driscoll’s
2023-01-01,Washington,West,Blueberries,28782.96,6519.94,5,Sun Belle
2023-01-01,Washington,West,Raspberries,25752.84,7938.81,16,Driscoll’s
2023-01-01,Washington,West,Blackberries,199246.99,29824.62,7,Hortifrut
2023-01-01,Georgia,South,Strawberries,34737.4,12650.36,10,Santa Cruz Berry
2023-01-01,Georgia,South,Blueberries,67171.83,21660.93,3,Naturipe Farms
2023-01-01,Georgia,South,Raspberries,22042.3,8031.21,14,Ocean Spray
2023-01-01,Georgia,South,Blackberries,51768.98,16524.72,9,HBF International
2023-01-01,Michigan,Midwest,Strawberries,69777.9,13944.94,10,Wish Farms
2023-01-01,Michigan,Midwest,Blueberries,172282.72,41271.95,17,Dole
2023-01-01,Michigan,Midwest,Raspberries,42995.18,13055.41,10,Plant City Berries
2023-01-01,Michigan,Midwest,Blackberries,15186.44,4094.68,7,Ruby Fresh
2023-01-01,New Jersey,Northeast,Strawberries,29236.7,4148.66,10,Well•Pict
2023-01-01,New Jersey,Northeast,Blueberries,46002.87,5901.16,8,Driscoll’s
